เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า,การบริการ
สินค้าด้อยคุณภาพ,คุณภาพสินค้า
คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก😢,การขนส่ง
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,การขนส่ง
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์,คุณภาพสินค้า
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว,คุณภาพสินค้า
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย,การขนส่ง
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี,คุณภาพสินค้า
ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ,ราคา
สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก,การขนส่ง
ใช้ดีค่ะหน้านุ่มและขาวขึ้น,คุณภาพสินค้า
จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี,การขนส่ง
ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยังบรรจุภัณฑ์คับ,คุณภาพสินค้า
สินค้าส่งรวดเร็ว พอใจในสินค้าครับ,การขนส่ง
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ,การขนส่ง
ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย,ราคา
ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม,การขนส่ง
สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ,การขนส่ง
ใช้เดือนเดียวพังแย่ๆมากๆ,คุณภาพสินค้า
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!!,คุณภาพสินค้า
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง,การขนส่ง
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้,คุณภาพสินค้า
ผิดหวัง ลบไม่ออก,คุณภาพสินค้า
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,คุณภาพสินค้า
ส่งช้ามาก ตอนนี้ยังไม่ได้ของ,การขนส่ง
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,คุณภาพสินค้า
สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน,คุณภาพสินค้า
ช้าสุดๆรอจนรำคาญละ,การขนส่ง
คุณภาพคุ้มค่าครับ,คุณภาพสินค้า
ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก,การขนส่ง
ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ,คุณภาพสินค้า
ได้รับของเร็วมาก.. แถมสินค้าได้ตามต้องการสวยมาก,การขนส่ง
รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ,คุณภาพสินค้า
ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ,คุณภาพสินค้า
สินค้าใช้แล้วดีมากไม่ทำให้ลูกแพ้เลยแถมราคาถูกกว่าในห้างและตามร้านค้าอีก,คุณภาพสินค้า
ใช้งานดีมากส่งของก็เร็วของครับ,คุณภาพสินค้า
ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ,การขนส่ง
วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ,คุณภาพสินค้า
สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย,คุณภาพสินค้า
ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก,คุณภาพสินค้า
คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว,คุณภาพสินค้า
ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ,คุณภาพสินค้า
สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ,ราคา
แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา,การบริการ
งานไม่ค่อยดี ไม่สมกับราคา,คุณภาพสินค้า
แย่มากเลย นมใกล้หมดอายุ ครั้งนี้ครั้งสุดท้ายนะคะที่จะสั่ง,คุณภาพสินค้า
ใช้ได้ไม่กี่เดือนก็พังล่ะยังใช้ไม่คุ้มกับราคาที่ซื้อมาเลย,คุณภาพสินค้า
ใส่สบายสั่งหลายรอบแล้วจร้าาา,คุณภาพสินค้า
ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ,การขนส่ง
ใช้งานได้ดีราคาไม่แพงมาก,ราคา
ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ,การขนส่ง
รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา,การขนส่ง
ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ,คุณภาพสินค้า
คุณภาพพอใช้ได้  ดูบอบบางจัง ต้องดูระยะการใช้งานระยะยาวค่ะรวม ๆ ถือว่าโอเคค่ะ,คุณภาพสินค้า
สินค้าแพคอย่างดี ที่สำคัญส่งขอเร็วมาก คิดว่าจะได้ช้าเสียอีก,การขนส่ง
ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ,การขนส่ง
ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก,การขนส่ง
เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา สั่งของก็บ่อยต่อไปไม่สั่งแล้ว แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,การบริการ
แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย,คุณภาพสินค้า
แย่มากเสียดายเงิน,ราคา
สินค้ามีรอยตำหนิ เป็นรอยง่าย,คุณภาพสินค้า
สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว,คุณภาพสินค้า
สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก,การขนส่ง
ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ,คุณภาพสินค้า
แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก,คุณภาพสินค้า
ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ ไม่เป็นแผลแต่เป็นดำๆ ที่มือ แสบเล็กน้อย,คุณภาพสินค้า
สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้,คุณภาพสินค้า
ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี,การบริการ
ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ,การบริการ
แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ,การบริการ
จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก,คุณภาพสินค้า
พกพาสะดวก ได้ของเร็ว,การบริการ
ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ,คุณภาพสินค้า
ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ,การบริการ
ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ,การบริการ
ไม่พึงพอใจเลย  สินค้าผลิตจากพลาสติกด้อยคุณภาพ  ก๊องแก๊งมาก,คุณภาพสินค้า
แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย,การขนส่ง
คุณภาพสินค้าไม่น่าประทับใจ,คุณภาพสินค้า
วัสดุแย่ ขาดง่าย เสียดายเงิน,คุณภาพสินค้า
อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ,การบริการ
แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย,คุณภาพสินค้า
เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้,การบริการ
คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย,คุณภาพสินค้า
เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก มันเหมือนกันมากเลยหรือ ส่งผิดรุ่นได้,การบริการ
หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร,การบริการ
ส่งเร็วทันใช้ตามความต้องการ,การขนส่ง
เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา,คุณภาพสินค้า
ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก,การบริการ
สมราคาค่ะ ภาพชัดเจน เทียบกับยี่ห้ออื่นราคาถูกกว่า,คุณภาพสินค้า
สวยมากใช้งานง่ายมากที่สำคัญส่งเร็วมาก,การบริการ
เสียงดี ส่งเร็ว ราคานี้คุ้มครับ,การบริการ
ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก,คุณภาพสินค้า
สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสดุด สมกับราคา และคุ้มค่ามากๆเลย,คุณภาพสินค้า
ใช้ดีส่งของไว มากเจ้านี้  วัสดุคุณภาพจริงจริง,การบริการ
แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ☺,การบริการ
เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน,คุณภาพสินค้า
สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ,การบริการ
ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด,การบริการ
ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก,การบริการ
ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ,การบริการ
สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ,คุณภาพสินค้า
แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!,การบริการ
ใช้ได้แป็บเดียวพังแล้ว,คุณภาพสินค้า
สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก,การบริการ
ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว,คุณภาพสินค้า
ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ,คุณภาพสินค้า
โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย,คุณภาพสินค้า
เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี,การบริการ
คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี,การบริการ
เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ,คุณภาพสินค้า
ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก,ราคา
ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่,คุณภาพสินค้า
จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ,คุณภาพสินค้า
แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ,การบริการ
ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม,การบริการ
เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง,การบริการ
มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย,การบริการ
สินค้าคุณภาพไม่ค่อยดี,คุณภาพสินค้า
สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ,คุณภาพสินค้า
เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก,คุณภาพสินค้า
ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ,การขนส่ง
สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริงในห้างเลย เสียดายตังค์ ซื้อมาทิ้ง,การบริการ
รายการไม่ดี ที่จับไม่ดีและสั้น,คุณภาพสินค้า
